review,class
": / I  m kinda technologically challenged, I admit, but ideally the app should be programmed and designed with people like me in mind!",feature request
It  s always up to date and never crashes!,information giving
The only issue is that the search function for your own pins is not very accurate.,problem discovery
"Its good but it can use a bit of an improvement, like sometimes the pictures just doesnt show and it takes a while for it to get back but that would be it ,",problem discovery
"Works smoothly and easily, every time I use the app...can  t say that about all apps.",information giving
"Love this app, and it  s not crashing for me anymore!!",information giving
I wish there was a way to put my boards in alphabetical order without moving them all individually.,feature request
I love that you are now able to pin from your clipboard!,information giving
I like everything about this app except the fact that I can  t pin anything from my iPhone!,information giving
My only complaint would be that if a pin is reported as a possible threat why isn  t it removed?,information seeking
Haven  t had any problems on iPhone 5!,information giving
When I wake up in the middle of the night I just grab my phone and start pinning!,information giving
Please fix this problem and let us pin more than that.,problem discovery
The app on my iPad regularly crashes.,problem discovery
I can be bombarded with ads anywhere   I don  t need to sit and browse through them.,problem discovery
I  ve never had an issue with it crashing.,information giving
My only problem with it is the fact I say just 2 more minutes and they turn into hours!,information giving
"However, it has crashed a couple of times recently on the iPad.",problem discovery
I might use it 50 times a day just for home made goodies alone.,information giving
\n Absolutely HATE the new way they list the categories with a picture....please go back to the old list...or let us choose which we  d like to use.,information giving
They updated the app and it is a lot better.,information giving
"Luckily I don  t have the crashing issue or I would probably have to cry, lol.",information giving
I could not tell you how many fun ideas I have tried and loved because of Pinterest.,information giving
I think it  s much easier to pin things on the app than it is to pin them on the website.,information giving
I love looking at wedding stuff to help me plan my upcoming wedding.,information giving
"I like pinterest a lot, but it really needs to be managed better.",feature request
Adding 12/24/13  do not like updated fragmented boards.,information giving
Use it just about everyday.,information giving
"Frequent app crashes on my iPad, please fix this bug!",problem discovery
"Pinterest is my go to when I need an idea for anything (hair styles, crafting, cooking, whatever!)",information giving
"\n\n~update for new version~\n\nI preferred the last layout and it STILL crashes when the orientation changes (and at random, too).",problem discovery
Why put the effort into a new layout and not fix major bugs?,problem discovery
I feel that they need to remove them.,feature request
Will think of other improvements that may be needed when I think of them.,information giving
Please fix the bugs!!,problem discovery
"Does the job you need it for but occasional crashes (I use it daily and it probably crashes once a week) can be a nuisance, but just briefly.",problem discovery
"Will,lock up,and crash often.",problem discovery
"Sha  chey Renee ,  This new update crashes when I click on images and I can  t see my followers and who  s following me please change this ,",problem discovery
I would have given it 5 stars except it crashes for no reason &amp; whatever you were looking at is lost.,problem discovery
Why was this feature removed?,information seeking
Please fix this soon!!,problem discovery
"I want to change the covers on my boards, but you can  t do that in this update, please fix it or if you got rid of it, please bring it back!",problem discovery
"However, in the last update something happened and now the app crashes constantly and when I can get in, all my pictures are gone.",problem discovery
Please fix this soon!!,problem discovery
The only thing is it crashes a lot!,problem discovery
"HomelessDragon ,  Says I need to grant access to log in via Facebook.",information giving
I find it very annoying that Pinterest keeps crashing literally every few minutes...didn  t have this problem before.,problem discovery
"It will work fine sometimes, but since the new update if I leave and come back to the app the images won  t show up.",problem discovery
Please change it back to how it was before.,feature request
"I  ve seen many people have this issue, and currently mine takes up 1.5 gb of my memory because it saves every single photo u pin or look at in the cache.",problem discovery
Never had an issue with it.,information giving
Very annoyed that I can  t delete pins from notifications tab.,feature request
"Whether I need some inspiration in planning a birthday party, motivation to work out, or outfit ideas, Pinterest is my first stop!",information giving
It is the one if the best apps ever created and is very useful and fun to look at.,information giving
It  s cool how you can save the things you like as well.,information giving
"\n   \n However, I don  t know if there is a way to contact Pinterest in order to suggest ideas for the app  s improvement.",information seeking
\n I would like to suggest the idea that Pinterest create folders for our boards.,feature request
I think we should get more.,feature request
Now I have to scroll through all of them instead of just touching a letter to find the board.,problem discovery
"I just love this app ,",information giving
It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table.,information giving
"My iPad no longer crashes, so I  m a happy camper about that.",information giving
Please undo this terrible update!!!!,problem discovery
"While aesthetically better looking, it does not work well.",problem discovery
The new updates are causing problems...first it was crashing my iPad almost every day.,problem discovery
"Now, it won  t load correctly (pictures missing) and my boards are missing cover pics, which I can  t even edit because there  s no option to change the picture anymore.",problem discovery
"Smash lover ,  Pinterest, is like a social media drug once you have a little you need a lot!!!!!",information giving
"Bdmama13 ,  I love the app but I can  t pin from etsy or other websites with the Pinterest button on the iPad mini.",problem discovery
Wouldn  t let me update the app.,problem discovery
Since update can  t login with my Fb acct!,problem discovery
"The app was great, please fix!",information giving
I want to know if anybody is having the problem about an update on Pinterest!,information seeking
I need my App back!!!,information giving
When I try to update it says that the app is no longer available.,problem discovery
"I cant get the app it says its no longer available ,",problem discovery
Trying to update and keeps saying the item  I  m trying to purchase is not available.,problem discovery
"Um I  m not trying to purchase I  m trying to update please fix ASAP now it  s saying can  t connect to iTunes  I  m getting frustrated ,",problem discovery
"I uninstalled it because when I tried to update it said What you  ve tried to buy is no longer available.""""",problem discovery
Now I can  t reinstall.,problem discovery
I was trying to update my phone but it  s telling me that Pinterest is no longer available.,problem discovery
When the update came I tried to update it but it said that It wouldn  t let me.,problem discovery
I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category.,information giving
I was excited to see that they added the swiping feature in the latest update.,information giving
Tried to update this app (the update is for bug fixes) and it tells me the item I  m trying to buy is no longer available!!!,problem discovery
Now it says not available to purchase.,problem discovery
For some reason it  s not letting me update &amp; 'this update is no longer available' and then it deleted my app,problem discovery
"So, I tried uninstalling and reinstalling it, but now it won  t let me download the app.",problem discovery
It says 'The item you tried to buy is no longer available.',problem discovery
"grlnxtdr2u978 ,  My Pinterest app is saying it needs an update but I am getting this message when I choose update.",information giving
Can I not download the app?,information seeking
It says it  s no longer available!,information giving
What happened?,information seeking
What happened?,information seeking
"magirlokmynameisnicky ,  It won  t let me create an account at all I think it is a bug or something.",problem discovery
What is the problem since the update?,information seeking
Of course I adore Pinterest but the app always has bugs and the last update has made Pinterest completely unusable.,problem discovery
I need my Pinterest!!!,information giving
I can  t even open the app after it  s latest update!,problem discovery
"The only thing wrong is when I go to repin something, I go to write a description and click on the box but it crashes.",problem discovery
I cannot access my notifications anymore and when I try to change captions I can  t. Why can  t I post comments anymore?!?!?!?!,problem discovery
I love love Pintrest but hate that it sometimes crashes since iOS 7 has come out never had that problem before but for that issue a great app.,problem discovery
You just put your finger on the pin picture and instantly you have options that POP up.,information giving
Do not like the new update.,information giving
"Works great and I  ve nvr had a problem with it or gotten a bad idea off Pinterest ,",information giving
The only issue I have is that it  s sensitive.,problem discovery
Other than after I updated it it crashes every other time I use it!,problem discovery
"The only problem is when I get on, I don  t want to stop!",problem discovery
"I can look at pins, but I can  t do much else for the last two days.",problem discovery
"The app shuts down, won  t load some pins, and I can  t edit pins.",problem discovery
It was perfect before I updated it 2 minutes ago.,problem discovery
"Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen ,",information giving
It  s like 3/4 of them are missing.,problem discovery
"With the updates, you forgot to put back to edit board cover for iPad users!!",problem discovery
Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era.,information giving
"Can  t view pins, all notifications have disappeared, crashes constantly.",problem discovery
"\nWish i could have more than 3 secret boards, please add the feature.",feature request
"Online hoarding, what could be better?",information giving
Please fix this bug problem Thank you.,problem discovery
Way to fail Pinterest.,problem discovery
This App as created an addition for Pinterest that I didn  t have before.,information giving
"the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone, but besides that I just love it!!!!",information giving
I can  t live without it!!,information giving
I liked having the letters on the side so I didn  t have to roll through my entire list of boards to pin something.,feature request
Please find a way to sort the DIY and Etsy stuff apart from each other  it  s frustrating to click on a project only to find you  ve been diverted to an Etsy store.,feature request
"When you need any sort of idea, all you have to do is check Pinterest.",information giving
"I absolutely recommend Pinterest, although it is addicting!",information giving
If you use Pinterest you need this app.,information giving
Sometime I can  t click to go to websites but overall good app.,problem discovery
I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page.,feature request
Now however I just like it  they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye.,information giving
I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest!,information giving
Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines!!,information giving
However it constantly crashes and freezes!!!!!,problem discovery
Love using the app but very very annoying they need to fix all the glitches !!!!!,problem discovery
I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything.,information giving
I learn how to do so many things from Pinterest.,information giving
Learned how to cut my own hair.,information giving
I don  t know why some people put one star but they made a mistake!,information giving
How could you not love it ?,information seeking
"Up until like a week ago I  ve never had a problem with it before, so I don  t understand what  s going on now.",problem discovery
They need to get this fixed and fast!,problem discovery
\nMy only qualm is not being able to easily save pictures.,problem discovery
"That  s a minor issue, though.",information giving
"I love Pinterest &amp; the apps are more user friendly than the website, BUT there needs to be a way to mark where you stopped browsing on your home feed.",information giving
App never crashes anymore.,information giving
It  s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that!,information giving
"There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page, but other than that, when you find those pages that take you right where you need to be, there  s a world of wonders out there!!",information giving
"Like any other App it might have its moments, but all in all it  s fantastic!",information giving
So glad they made this into an app!,information giving
Why did you change Pinterest with the last update?,information seeking
Why do you change things that were not broken?,information seeking
I have made many recipes and DIY projects.,information giving
"It has given me ideas in on how to renovate my kitchen, teach algebra to my kids, build a mud room, etc.",information giving
"Great site,  need to improve stability.",information giving
There is anything and everything that you could ever want or think of on this one site!!,information giving
I love that you can pin without having to click through a million different things.,information giving
No crashes.,information giving
Now that the app is better I need an app for more time in the day.,information giving
"I almost never have any issues with it except sometimes the notifications won  t refresh or sometimes the notifications take days to show up ,",problem discovery
"I think it  s cool you can swipe through apps, but I did like the feature when you could swipe back to the previous page ( which you can  t do anymore).",information giving
"Great ideas, like minded people, but the organization for my brain is the best!",information giving
There have been times when the pins take a long time to load but overall it  s a great app and I recommend it to anyone.,information giving
"Ever since the iOS 7 update, the app crashes whenever I try to look at my notifications.",problem discovery
Best app/site ever lots of information and you can find everything you need!,information giving
"I  ve never had any problems, always works well.",information giving
Love it and the new easier way to pin by just holding down the item!,information giving
And what happened to being able to pin a photo to my fb wall?,information seeking
I love the app but it crashes only 5 minuets into searching and looking on it.,problem discovery
"It  s easy, works well, and is a million times more organized than I know how to be.",information giving
"I  m on it all the time, and love how you can organize your boards.",information giving
I never have problems with crashing.,information giving
Love Pinterest but the app crashes from time to time.,problem discovery
"It  s easy to use, and you can find anything you need with just a little searching and effort.",information giving
Love Pinterest but will just crash when I try too look at pin notices.,problem discovery
The only problem is I spend too much time on it!!!,problem discovery
Only problems I have are there  s no multiple upload option.,problem discovery
Would be nice to easily move pins if pinned mistakingly to wrong bored.,feature request
Old way was fine.,information giving
Still could use a few minor tweaks but overall very good!,information giving
Please restore it back the way it was.,information giving
"Brynnmlj ,  Every time I open my feed, it crashes same with my profile!",problem discovery
They need to make some fixes.,problem discovery
Why can you drag and drop whole boards but not the pins within a board?,information seeking
Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app.,information giving
:p\n\nI highly recommend this app.,information giving
Notifications are broken and can  t access sent pins.,problem discovery
I may be slightly addicted to it.,information giving
"I don  t like how you have to comment on them now, how i have to scroll through all my boards to get to one and I really hate how you cant have more than one board open at a time with the x  s in the corner.",problem discovery
The bottom just doesn  t work for me.,problem discovery
"This is my favorite app in the world but all of a sudden it starting to crash again and it is really annoying, PLEASE FIX THIS!!!!!!!!!",problem discovery
"Great way to pass the time when u need good ideas ,",information giving
Once you start you can  t stop!,information giving
I love looking at the crisp beautiful images &amp; great ideas that are easy to categorize.,information giving
"The only thing I hate is the bug that shut it  s down, usually when I inadvertently have too many windows open.",problem discovery
"I  m addicted, everyone should have a Pinterest!!!!",information giving
"So far so good, haven  t had any problems with it.",information giving
Sure would be nice if the app didn  t crash so often while I  m pinning or just freezes.,problem discovery
More updates need to be included with this app in order to keep it moving.,information giving
"Which one gets you to the list of categories: the home, magnifying glass, plus sign, or person?",information seeking
"If you   like   a pin, you should not be listed as following them.",information giving
Fantastic ideas and the recipes are awesome.,information giving
Now it will not load new pins from people I follow and if I click to view people I follow then it crashes and closes the app.,problem discovery
Love this app but it crashes too much!!,problem discovery
A pretty good representation of the website but took a while to figure out how to save a photo to the camera roll.,information giving
The app still crashes a lot and will often lose the page I was on if I switch to another app for a moment   which is really annoying.,problem discovery
"Not a fan of the new layout, and the app still crashes, even on the most recent iOS platform.",problem discovery
"Whenever I need an idea for anything, I can find a ton here!",information giving
I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning.,feature request
Having the pins on the left needs to be moved back to the middle.,feature request
"I do wish, with all the new updates, they made a slide show option because sometimes I just want to flip through my pins(instead of having to click on each one, one at a time).",information giving
"I RECOMMEND it to every wedding planner, fashionista, technology mogul, DIY fanatic, food craver, comedic lover, and many more.",information giving
"Highly recommend it ,",information giving
Don  t try to fix something that doesn  t need fixing?,problem discovery
"Reverse, please!!!",problem discovery
I don  t even need any other apps.,information giving
How did I ever live without Pinterest?,information giving
Only thing I wish it would do would allow me to print from my iPad easily.,feature request
The only complaint I have is that it crashes at random times.,problem discovery
"Though It crashes after a couples minutes on my ipod ,",problem discovery
I just miss the you could save the photos in your iPhone but other than that I  m in love with this app!!!,feature request
Gives me lots of ideas from tatoos to home decor to building or just make my life easier &amp; more fun!,information giving
"I use it all the time and I love how it rarely crashes ,",information giving
"Very well put together but after using for a little bit on my iPhone, the app crashes.",problem discovery
When using it on my iPad it crashes and my iPad just shuts off then restarts it  s self.,problem discovery
"You don  t have to search and search the stuff that interests on the web, its all here, you can also add information you others to see.",information giving
"I also liked that choosing the board did not close my new pin, not allowing me to make any additional changes to the wording if the pin.",information giving
"\nOne more thing, a lot of other people and I really liked the alphabet scroll bar for the boards, so it would be nice if you could bring that back with your next bug fix.",information giving
My only complaint would be occasional crashes.,problem discovery
Please fix the bugs!,problem discovery
"I LOVE the update, but I can  t enjoy it because it still crashes A LOT!",problem discovery
This app crashes at least twice a day and now is not fully loading the activity my pins are getting.,problem discovery
I wish I could have the last version back.,feature request
"I don  t like the pull up menu, please fix!!",problem discovery
Please fix it!,problem discovery
Please fix ur problem!,problem discovery
Please fix it.,problem discovery
Please fix this!,problem discovery
What happened to my notifications?,information seeking
"They are only showing the brand new ones, problem is sometimes I don  t get through them all and then I come back...now they are gone!",problem discovery
Please please fix this!!!,problem discovery
"What happened to the related pins"" that you got at the bottom of a pin?""",information seeking
I hate that you can no longer see all the other items people pinned when you click on a specific pin.,information giving
That was what made this so much fun...the unlimited exploring.,information giving
Please fix it.,problem discovery
"All my past notifications are gone (I liked being able to look through the past ones) and I can  t access related pins, which was really helpful in narrowing down my search results.",information giving
Please fix bigs.,problem discovery
\nThat  s how I found most of pins and now it  s gone?!!!!?,information giving
Please fix this.,problem discovery
Thank you for putting the time bar back and it has been crashing for me less thus far.,information giving
There are so many times that I  m on Pinterest when I definitely need to be doing other things.,information giving
"I can barely go on there for a minute with out it crashing ,",problem discovery
If you have numerous boards you now have to click to make the keyboard go away if you change the caption or you can  t scroll to the bottom of your board list because the keyboard blocks it.,information giving
Why do you now have to reach across the screen to obtain your list of boards?,information seeking
Why can you no longer see the number of followers you have on each board?,information seeking
Why does your total number of boards no longer show on your main page?,information seeking
If was not broken it  should not have been fixed.,information giving
Please fix it.,problem discovery
Can  t stop pinning!!!,information giving
"I hate the new layout, the menu bar at the bottom, the way I can  t just tap outside of a box to close it, how the close x"" has switched sides with the ""pin it"" button.""",problem discovery
\nThe one positive: it hasn  t crashed on me since the update.,information giving
"I use Pinterest a lot, and version 3.3 still has the same issue as the last couple of updates.",problem discovery
Crashes constantly and will occasionally crash my iPad 3.,problem discovery
It needs to be fixed not have useless things added on like a map option.,problem discovery
"What was the point of this last update, to make the app as difficult as possible to use?",information seeking
I don  t like that you can  t choose board cover with new update.,information giving
It provides an access to ideas for just about any and everything!!!,information giving
"Great app, would be nice if you could change tags on mobile version.",information giving
"can  t figure out how to change a board cover after the update ,",information seeking
I doubt they even posted them.,information giving
Obviously Pinterest is having spam issues.,problem discovery
Please clear them up.,information giving
"Every since I updated to iOS7, this app crashes my whole iPad.",problem discovery
Please fix because I don  t like using Pinterest on a browser.,problem discovery
Please fix this.,problem discovery
Please fix it.,problem discovery
How do you change the board cover?,information seeking
"However, you guys forgot to add the follow count for individual boards.",problem discovery
"It crashes about five times a day, when it IS working it is awesome.",problem discovery
Hopefully the crashing has been fixed when there are a few open pages.,information giving
"\n\nAlso, why did you remove the number of pins we have per board?",information seeking
Please pay attention the the negative feedback.,information giving
So what happened to the option of saving photos from Pinterest directly to the camera roll on iPads?,information seeking
Totally counterintuitive and just makes things really difficult.,information giving
"It is not user friendly to navigate, and there is an issue where I can  t pin something because the pin button is out of reach.",information giving
Now I can  t email pins and upgrade is sluggish.,information giving
Please put it back!,information giving
And please add tags bc the search feature becomes useless when my description just says cute or adorable and I have to search my entire board to find something.,feature request
"About half of attempted re pins fail, the hide &amp; seek bottom dock is a real pain to use, and it much, much harder to navigate in general than the older version.",problem discovery
Please bring back the last version or let us down grade from this atrocious unusable fail.,information giving
They just need to update the layout I fill like everything is hidden I want a better task bar.,feature request
This version has crashed many more times than previous ones.,problem discovery
boards/subjects should have some type of restrictions or distinguishing   key phrases.,feature request
"No more crashes, and I  m happy once again.",problem discovery
App is crashing when trying to send a direct message via email.,problem discovery
"The look is bland, and apparently Pinterest has forgotten tons of their pinners are DIY and crafting nuts.as you can probably can tell, I may have a slight problem with Pinterest.",problem discovery
"Just PLEASE fix it, then I will love you so.",problem discovery
Please fix this.,problem discovery
Love the app but when I open the notifications it crashes.,problem discovery
Please know I adore this app .,information giving
Just please fix this bug.,problem discovery
"But is there a way for used to filter out certain topics, like tattoos and wedding dresses?",information seeking
"So, the app is totally worthless to me when I am doing everything right and it  s not working.",problem discovery
I updated my iPhone app and now when I open the app all the pages are blank.,problem discovery
"BSRA1028 ,  I love this app but ever since I updated it it does not work.",problem discovery
Please fix this   very annoying and limits my use of the site.,problem discovery
I updated the app and now no pins will show in the news feed or in the categories.,problem discovery
Please fix it!,problem discovery
I  m quite annoyed and would really like them to fix this situation.,problem discovery
Please fix this because otherwise I LOVE this app but it is useless to me if I can  t view ANYTHING!,problem discovery
Please restore a way to open pin links in external browser or let us save photos.,feature request
I just wish that you could have more secret boards.,feature request
Any app that crashes is terrible.,problem discovery
Pinterest crashes  your iPad to the boot screen.,problem discovery
I can  t think of one instance of another app doing this.,information giving
If I had to say there was a problem it would be that this app is too addicting!!!!!!,problem discovery
This needs to be fixed.,problem discovery
The addition of secret boards was a great idea!,information giving
If only every pin had a direct link to how to buy it or the items inside.,feature request
Where are the categories?,information seeking
I use this for home and work just to get new ideas.,information giving
I love this app but I would also love if they added a way you can see pins people sent you &amp; pins you sent to other people!,information giving
I love seeing what others ideas are.,information giving
The app crashes my iPad since iOS 7 update.,problem discovery
What happened?,information seeking
Please bring that back.,feature request
Please bring back the save to camera roll.,feature request
"Prior to newest update: Love app, only problem is sometimes when I want to pin, it won  t let me click pin.",problem discovery
It has everything I need!!,information giving
"BUT...every time I go to a website from a pin then come back, it crashes!!!",problem discovery
Can  t email cause it crashes every time.,problem discovery
Please repost the old one so we can downgrade.,feature request
Except how do I change my board cover pin?,information seeking
So glad they added a business profile!,information giving
I just love all the personalizing you can do.,information giving
"I can  t find any help on the devloper  s pages or online, so what am i to do?",information seeking
Please bring back the old.,feature request
"Please change it back, I hate everything about it!",feature request
Still crashes since updated my iPad 3 with IOS 7.,problem discovery
If you are on Pinterest...you need this.,information giving
"Seriously, I can  t find them now....epic fail.",problem discovery
